ID,date,meals_served,kitchen_staff,temperature_C,humidity_percent,day_of_week,special_event,past_waste_kg,staff_experience,waste_category
0,2022-12-19,196.0,13.0,27.88727268,45.36285391,0,0,7.740586989,Intermediate,Dairy
1,2023-11-21,244.0,15.0,10.31787225,64.43047525,1,0,42.31177881,Intermediate,Meat
2,2022-02-01,148.0,16.0,27.71430012,69.04611285,1,0,41.18430513,Beginner,Meat
3,2023-03-19,157.0,19.0,19.17390198,46.29282284,6,0,41.5434925,Beginner,Meat
4,2022-07-18,297.0,10.0,26.37523347,79.74106395,0,0,26.52509668,Intermediate,Meat
5,2023-03-02,241.0,18.0,16.86350635,79.2859195,3,0,11.83487776,Intermediate,Dairy
6,2022-04-18,443.0,16.0,19.8886271,77.32813583,0,0,22.86265878,Beginner,Vegetables
7,2023-12-16,416.0,16.0,18.5595909,75.78650182,5,1,34.59944225,Intermediate,Meat
8,2023-07-07,439.0,18.0,24.11102727,43.39580313,4,0,17.45914863,Expert,Dairy
9,2023-11-07,267.0,7.0,25.41249317,89.40518256,1,0,23.06739248,Expert,Grains
10,2022-06-08,487.0,15.0,20.96518041,53.39234118,2,0,41.07579319,Expert,Meat
11,2023-04-21,418.0,13.0,19.56315701,82.53067359,4,0,25.04342845,Intermediate,Vegetables
12,2022-01-25,376.0,19.0,-10.37220651,54.49838057,1,0,36.25941978,Expert,Meat
13,2023-09-10,372.0,5.0,30.22208654,63.6524678,6,0,49.63501382,Intermediate,Grains
14,2023-04-29,378.0,12.0,12.32322861,68.06038438,5,0,41.14602071,Intermediate,Meat
15,2024-06-03,265.0,12.0,15.6852374,63.32972545,0,0,26.92454031,Beginner,Meat
16,2023-10-13,1560.0,8.0,23.74040109,48.59999623,4,0,11.25509923,Expert,Dairy
17,2022-09-02,283.0,8.0,18.91830133,36.07559488,4,1,7.659761939,Beginner,Dairy
18,2024-04-27,138.0,17.0,31.11973591,67.67960296,5,0,21.02418883,Intermediate,Vegetables
19,2024-09-09,253.0,17.0,12.76871113,42.37304431,0,0,6.584682809,Intermediate,Dairy
20,2024-04-08,152.0,8.0,32.7347548,48.53006544,0,0,27.15630366,Expert,Grains
21,2023-07-25,1110.0,11.0,15.52006574,58.40405289,1,0,38.87818951,Beginner,Vegetables
22,2022-03-01,439.0,18.0,13.28337816,56.99053248,1,0,22.96250575,Intermediate,Dairy
23,2022-10-18,353.0,11.0,10.43789977,70.64323929,1,1,17.26927913,Expert,Meat
24,2022-03-12,489.0,8.0,18.01856851,73.81476883,5,0,36.51943096,Expert,Meat
25,2022-12-11,464.0,11.0,12.72295855,58.58900303,6,0,23.69813284,Intermediate,Vegetables
26,2022-07-04,430.0,18.0,20.39768415,74.99104587,0,0,13.9735219,Expert,Grains
27,2022-05-22,354.0,15.0,24.86941593,56.31230931,6,0,28.56485372,Intermediate,Meat
28,2023-01-26,306.0,15.0,12.80760861,48.36824045,3,0,18.20906566,Expert,Meat
29,2023-05-07,338.0,8.0,12.94122571,68.06544872,6,0,43.68558133,Intermediate,Grains
30,2024-04-06,358.0,18.0,11.24605069,62.44407403,5,0,43.56339866,pro,Grains
31,2022-04-12,114.0,8.0,24.75659847,38.25142649,1,0,25.34389686,Intermediate,Meat
32,2024-01-20,100.0,15.0,28.90661645,30.6054364,5,0,15.80987449,Beginner,Meat
33,2023-07-06,259.0,5.0,19.66152103,74.34159347,3,0,11.18127857,Intermediate,Grains
34,2022-11-03,174.0,15.0,17.95278884,73.84908172,3,0,49.73367446,Intermediate,Vegetables
35,2024-09-13,470.0,9.0,26.29169797,84.9154311,4,0,29.18032236,Intermediate,Dairy
36,2022-11-18,262.0,13.0,19.3918063,58.00692463,4,0,34.51564909,Intermediate,Dairy
37,2024-03-10,218.0,8.0,22.4041596,31.85147426,6,0,34.77667305,Beginner,Dairy
38,2024-01-01,272.0,11.0,16.94755243,32.85847545,0,0,30.91036382,Intermediate,Meat
39,2023-11-09,492.0,9.0,11.09339065,59.68051138,3,0,14.92289542,Intermediate,Grains
40,2023-10-16,280.0,18.0,20.60742215,76.88093044,0,1,14.55285388,Beginner,Grains
41,2022-03-18,317.0,16.0,24.06875716,50.4243506,4,0,46.58484722,Beginner,Dairy
42,2022-07-12,382.0,12.0,24.70145945,36.9442564,1,0,5.655521964,Intermediate,Vegetables
43,2022-03-28,289.0,7.0,29.9199457,69.52950421,0,0,29.77122997,Intermediate,Meat
44,2023-04-04,361.0,11.0,19.0736068,63.89906146,1,0,29.566559,Intermediate,Meat
45,2022-02-18,266.0,9.0,14.39613291,72.46129958,4,0,39.71804279,Intermediate,Meat
46,2024-07-07,487.0,6.0,24.00455646,56.9450847,6,0,25.59088995,Intermediate,Grains
47,2022-01-04,306.0,11.0,15.74021462,74.2841474,1,0,22.28191873,Beginner,Meat
48,2022-11-06,439.0,12.0,28.81069407,72.653083,6,1,26.832568600000002,Expert,Meat
49,2024-01-14,119.0,19.0,30.99909951,65.42586539,6,0,41.55467811,Intermediate,Dairy
